"freight_cost_usd","line.item.insurance..usd.","shipment.mode","country","product.group","sub.classification","line.item.quantity","line.item.value","weight_kilograms","pack.price","dosage","scheduled.delivery.date","delivered.to.client.date","shipment_mode_encoded","country_encoded","product_group_encoded","sub_classification_encoded","scheduled_delivery_date","delivered_to_client_date","delivery_time","delivery_category"
3366.04,1.2,"Air","Vietnam","ARV","Adult",8,613.76,48,76.72,100,"17-Jul-09","17-Jul-09",1,41,3,2,2009-07-17,2009-07-17,0,"On Time"
6341.88,76.49,"Air","Vietnam","ARV","Adult",3500,39025,1804,11.15,150,"10-Jul-09","10-Jul-09",1,41,3,2,2009-07-10,2009-07-10,0,"On Time"
684.42,3.43,"Air","Botswana","HRDT","HIV test",5,1750,12,350,0,"12-Jun-09","10-Jul-09",1,5,4,3,2009-06-12,2009-07-10,28,"Late"
401.97,9.85,"Air","Namibia","HRDT","HIV test",67,5025,48,75,0,"1-Sep-09","1-Sep-09",1,28,4,3,2009-09-01,2009-09-01,0,"On Time"
1736.18,13.8,"Air","Namibia","HRDT","HIV test",220,7040,79,32,0,"29-Jun-09","29-Jun-09",1,28,4,3,2009-06-29,2009-06-29,0,"On Time"
5869.655,0.96,"Truck","South Africa","ARV","Adult",50,490,1047,9.8,100,"28-Jul-09","28-Jul-09",4,34,3,2,2009-07-28,2009-07-28,0,"On Time"
5869.655,80.95,"Truck","South Africa","ARV","Adult",5000,41300,1047,8.26,150,"12-Oct-09","5-Aug-09",4,34,3,2,2009-10-12,2009-08-05,-68,"Early"
5869.655,5.56,"Truck","South Africa","ARV","Pediatric",460,2838.2,1047,6.17,10,"12-Oct-09","28-Jul-09",4,34,3,6,2009-10-12,2009-07-28,-76,"Early"
21439.59,300,"Air","Vietnam","ARV","Adult",25000,187500,2348,7.5,150,"24-Aug-07","24-Aug-07",1,41,3,2,2007-08-24,2007-08-24,0,"On Time"
5869.655,23.97,"Air","Côte d'Ivoire","ARV","Pediatric",1577,14981.5,306,9.5,50,"23-Oct-07","23-Oct-07",1,10,3,6,2007-10-23,2007-10-23,0,"On Time"
5858.57,448,"Air","Nigeria","HRDT","HIV test",3500,280000,1194,80,0,"7-Sep-07","7-Sep-07",1,29,4,3,2007-09-07,2007-09-07,0,"On Time"
5869.655,64.9,"Air","Côte d'Ivoire","ARV","Pediatric",4270,40565,1047,9.5,50,"2-Oct-07","2-Oct-07",1,10,3,6,2007-10-02,2007-10-02,0,"On Time"
13762.41,3.07,"Air","Vietnam","ARV","Pediatric",1000,1920,960,1.92,10,"2-Oct-07","2-Oct-07",1,41,3,6,2007-10-02,2007-10-02,0,"On Time"
5869.655,3.36,"Air","Vietnam","ARV","Pediatric",1000,2100,1047,2.1,10,"2-Oct-07","2-Oct-07",1,41,3,6,2007-10-02,2007-10-02,0,"On Time"
5869.655,3.36,"Air","Vietnam","ARV","Pediatric",1000,2100,1047,2.1,10,"15-Oct-07","15-Oct-07",1,41,3,6,2007-10-15,2007-10-15,0,"On Time"
4454.62,64.8,"Air","Vietnam","ARV","Adult",3000,40500,332,13.5,150,"15-Oct-07","15-Oct-07",1,41,3,2,2007-10-15,2007-10-15,0,"On Time"
16095.39,443.88,"Air","Vietnam","ARV","Adult",22500,277425,1955,12.33,600,"23-Nov-07","23-Nov-07",1,41,3,2,2007-11-23,2007-11-23,0,"On Time"
1767.38,65.75,"Air","Vietnam","ARV","Adult",500,41095,117,82.19,200,"27-Aug-07","27-Aug-07",1,41,3,2,2007-08-27,2007-08-27,0,"On Time"
25165.3,320,"Air","Tanzania","HRDT","HIV test",10000,2e+05,3336,20,0,"19-Sep-07","19-Sep-07",1,38,4,3,2007-09-19,2007-09-19,0,"On Time"
7922.24,43.76,"Air","Rwanda","ARV","Adult",1609,27353,157,17,300,"28-Jan-08","28-Jan-08",1,31,3,2,2008-01-28,2008-01-28,0,"On Time"
2535.4,29.33,"Air","Vietnam","ARV","Adult",100,18333,337,183.33,100,"28-Mar-08","28-Mar-08",1,41,3,2,2008-03-28,2008-03-28,0,"On Time"
28002.75,432,"Air","Nigeria","HRDT","HIV test",10000,270000,3336,27,0,"21-Jan-08","21-Jan-08",1,29,4,3,2008-01-21,2008-01-21,0,"On Time"
1511.25,48.36,"Air","Rwanda","ARV","Adult",1099,30222.5,113,27.5,300,"28-Jan-08","28-Jan-08",1,31,3,2,2008-01-28,2008-01-28,0,"On Time"
2429.85,3.36,"Air","Vietnam","ARV","Adult",1200,2100,125,1.75,20,"1-Feb-08","1-Feb-08",1,41,3,2,2008-02-01,2008-02-01,0,"On Time"
5869.655,28,"Air","Kazakhstan","HRDT","HIV test",50,17500,1047,350,0,"27-Dec-07","27-Dec-07",1,18,4,3,2007-12-27,2007-12-27,0,"On Time"
2577.27,83.19,"Air","Nigeria","HRDT","HIV test",650,51993.5,148,79.99,0,"5-Feb-08","5-Feb-08",1,29,4,3,2008-02-05,2008-02-05,0,"On Time"
2496.62,23.04,"Air","Botswana","HRDT","HIV test",450,14400,154,32,0,"3-Jul-08","3-Jul-08",1,5,4,3,2008-07-03,2008-07-03,0,"On Time"
18864.37,443.66,"Air","Nigeria","HRDT","HIV test",10270,277290,2907,27,0,"19-Sep-08","16-Jul-08",1,29,4,3,2008-09-19,2008-07-16,-65,"Early"
55746.59,460.8,"Air","Mozambique","HRDT","HIV test",9000,288000,9000,32,0,"27-Mar-08","27-Mar-08",1,27,4,3,2008-03-27,2008-03-27,0,"On Time"
24689,309.25,"Air","Zambia","HRDT","HIV test",6040,193280,2052,32,0,"14-May-08","14-May-08",1,42,4,3,2008-05-14,2008-05-14,0,"On Time"
5869.655,0.07,"Air","Zambia","HRDT","HIV test - Ancillary",4300,43,284,0.01,0,"6-Jun-08","30-May-08",1,42,4,4,2008-06-06,2008-05-30,-7,"Early"
1104.69,15.29,"Air","Côte d'Ivoire","HRDT","HIV test",289,7803,79,27,0,"4-Mar-09","4-Mar-09",1,10,4,3,2009-03-04,2009-03-04,0,"On Time"
5298.9,345.55,"Air","Mozambique","HRDT","HIV test",3000,215970,682,71.99,0,"9-Jul-08","4-Jul-08",1,27,4,3,2008-07-09,2008-07-04,-5,"Early"
5175.72,124.99,"Air","Côte d'Ivoire","HRDT","HIV test",1116,78120,255,70,0,"22-Jul-08","22-Jul-08",1,10,4,3,2008-07-22,2008-07-22,0,"On Time"
7118.12,153.12,"Air","Côte d'Ivoire","HRDT","HIV test",1116,78120,256,70,0,"19-Dec-08","19-Dec-08",1,10,4,3,2008-12-19,2008-12-19,0,"On Time"
3740.04,42.6,"Air","Guyana","HRDT","HIV test",832,26624,832,32,0,"6-May-08","6-May-08",1,16,4,3,2008-05-06,2008-05-06,0,"On Time"
959.46,24.53,"Air","Guyana","HRDT","HIV test",213,15333.87,49,71.99,0,"28-Jul-08","28-Jul-08",1,16,4,3,2008-07-28,2008-07-28,0,"On Time"
604,5.6,"Air","Botswana","HRDT","HIV test",10,3500,39,350,0,"11-Apr-08","11-Apr-08",1,5,4,3,2008-04-11,2008-04-11,0,"On Time"
5446.06,75.62,"Air","Rwanda","HRDT","HIV test",340,47260,234,139,0,"16-Aug-08","16-Aug-08",1,31,4,3,2008-08-16,2008-08-16,0,"On Time"
5869.655,0.08,"Truck","South Africa","ARV","Pediatric",6,47.28,1047,7.88,80,"24-Apr-08","24-Apr-08",4,34,3,6,2008-04-24,2008-04-24,0,"On Time"
5869.655,17.48,"Truck","South Africa","ARV","Adult",500,10925,1047,21.85,300,"24-Apr-08","24-Apr-08",4,34,3,2,2008-04-24,2008-04-24,0,"On Time"
4159.45,46.77,"Air","Vietnam","ARV","Adult",10080,29232,507,2.9,150,"7-Jul-08","20-Jun-08",1,41,3,2,2008-07-07,2008-06-20,-17,"Early"
3796.05,123.43,"Air","Vietnam","ARV","Adult",6720,77145.6,522,11.48,600,"1-Jun-08","1-Jun-08",1,41,3,2,2008-06-01,2008-06-01,0,"On Time"
3013.09,4.48,"Air","Vietnam","ARV","Pediatric",400,2800,81,7,25,"3-Oct-08","3-Oct-08",1,41,3,6,2008-10-03,2008-10-03,0,"On Time"
